sentence_id,token_id,token,tag
0,0,The,O
0,1,temporary,B-INFRASTRUCTURE
0,2,bridge,I-INFRASTRUCTURE
0,3,in,O
0,4,Mombasa,B-LOCATION
0,5,stayed,O
0,6,closed,O
0,7,while,O
0,8,Samaritan,B-ORG
0,9,Aviation,I-ORG
0,10,moved,O
0,11,tarpaulin,B-AID_RESOURCE
0,12,rolls,I-AID_RESOURCE
0,13,through,O
0,14,back,O
0,15,roads,O
0,16,.,O
1,0,A,O
1,1,ice,B-DISASTER
1,2,jam,I-DISASTER
1,3,in,O
1,4,La,B-LOCATION
1,5,Paz,I-LOCATION
1,6,ruptured,O
1,7,the,O
1,8,mountain,B-INFRASTRUCTURE
1,9,pass,I-INFRASTRUCTURE
1,10,",",O
1,11,and,O
1,12,families,B-CASUALTY
1,13,cut,I-CASUALTY
1,14,off,I-CASUALTY
1,15,needed,O
1,16,oral,B-AID_RESOURCE
1,17,rehydration,I-AID_RESOURCE
1,18,salts,I-AID_RESOURCE
1,19,.,O
2,0,Food,B-ORG
2,1,for,I-ORG
2,2,the,I-ORG
2,3,Hungry,I-ORG
2,4,treated,O
2,5,two,B-CASUALTY
2,6,nurses,I-CASUALTY
2,7,injured,I-CASUALTY
2,8,after,O
2,9,ridge,B-DISASTER
2,10,collapse,I-DISASTER
2,11,damaged,O
2,12,the,O
2,13,drainage,B-INFRASTRUCTURE
2,14,canal,I-INFRASTRUCTURE
2,15,in,O
2,16,Bamako,B-LOCATION
2,17,.,O
3,0,The,O
3,1,fiber,B-INFRASTRUCTURE
3,2,line,I-INFRASTRUCTURE
3,3,in,O
3,4,Medellin,B-LOCATION
3,5,stayed,O
3,6,closed,O
3,7,while,O
3,8,RescueNet,B-ORG
3,9,moved,O
3,10,mosquito,B-AID_RESOURCE
3,11,nets,I-AID_RESOURCE
3,12,through,O
3,13,back,O
3,14,roads,O
3,15,.,O
4,0,Emergency,B-ORG
4,1,Logistics,I-ORG
4,2,Hub,I-ORG
4,3,reported,O
4,4,eight,B-CASUALTY
4,5,firefighters,I-CASUALTY
4,6,treated,I-CASUALTY
4,7,when,O
4,8,the,O
4,9,peat,B-DISASTER
4,10,fire,I-DISASTER
4,11,hit,O
4,12,the,O
4,13,school,B-INFRASTRUCTURE
4,14,shelter,I-INFRASTRUCTURE
4,15,outside,O
4,16,Suva,B-LOCATION
4,17,.,O
5,0,pregnant,B-CASUALTY
5,1,patients,I-CASUALTY
5,2,relocated,I-CASUALTY
5,3,were,O
5,4,found,O
5,5,near,O
5,6,Kathmandu,B-LOCATION
5,7,after,O
5,8,the,O
5,9,Typhoon,B-DISASTER
5,10,Kaito,I-DISASTER
5,11,swept,O
5,12,across,O
5,13,the,O
5,14,market,B-INFRASTRUCTURE
5,15,hall,I-INFRASTRUCTURE
5,16,.,O
6,0,Global,B-ORG
6,1,Shelter,I-ORG
6,2,Cluster,I-ORG
6,3,warned,O
6,4,that,O
6,5,cash,B-AID_RESOURCE
6,6,vouchers,I-AID_RESOURCE
6,7,were,O
6,8,running,O
6,9,low,O
6,10,in,O
6,11,Medellin,B-LOCATION
6,12,after,O
6,13,the,O
6,14,grain,B-INFRASTRUCTURE
6,15,silo,I-INFRASTRUCTURE
6,16,overflowed,O
6,17,.,O
7,0,MedGlobal,B-ORG
7,1,mapped,O
7,2,supply,O
7,3,gaps,O
7,4,near,O
7,5,Mombasa,B-LOCATION
7,6,",",O
7,7,where,O
7,8,many,B-CASUALTY
7,9,households,I-CASUALTY
7,10,displaced,I-CASUALTY
7,11,were,O
7,12,stranded,O
7,13,by,O
7,14,debris,B-DISASTER
7,15,flow,I-DISASTER
7,16,.,O
8,0,In,O
8,1,Arequipa,B-LOCATION
8,2,",",O
8,3,crews,O
8,4,requested,O
8,5,splints,B-AID_RESOURCE
8,6,because,O
8,7,the,O
8,8,fuel,B-INFRASTRUCTURE
8,9,depot,I-INFRASTRUCTURE
8,10,failed,O
8,11,during,O
8,12,the,O
8,13,snow,B-DISASTER
8,14,squall,I-DISASTER
8,15,.,O
9,0,After,O
9,1,the,O
9,2,ridge,B-DISASTER
9,3,collapse,I-DISASTER
9,4,",",O
9,5,Islamic,B-ORG
9,6,Relief,I-ORG
9,7,opened,O
9,8,a,O
9,9,staging,O
9,10,area,O
9,11,beside,O
9,12,the,O
9,13,primary,B-INFRASTRUCTURE
9,14,clinic,I-INFRASTRUCTURE
9,15,for,O
9,16,eight,B-CASUALTY
9,17,firefighters,I-CASUALTY
9,18,treated,I-CASUALTY
9,19,.,O
10,0,Food,B-ORG
10,1,for,I-ORG
10,2,the,I-ORG
10,3,Hungry,I-ORG
10,4,delivered,O
10,5,mosquito,B-AID_RESOURCE
10,6,nets,I-AID_RESOURCE
10,7,to,O
10,8,Anchorage,B-LOCATION
10,9,after,O
10,10,rainwater,O
10,11,contaminated,O
10,12,the,O
10,13,community,B-INFRASTRUCTURE
10,14,well,I-INFRASTRUCTURE
10,15,.,O
11,0,In,O
11,1,Reykjavik,B-LOCATION
11,2,",",O
11,3,Global,B-ORG
11,4,Shelter,I-ORG
11,5,Cluster,I-ORG
11,6,opened,O
11,7,a,O
11,8,field,O
11,9,post,O
11,10,for,O
11,11,five,B-CASUALTY
11,12,workers,I-CASUALTY
11,13,trapped,I-CASUALTY
11,14,after,O
11,15,peat,B-DISASTER
11,16,fire,I-DISASTER
11,17,.,O
12,0,After,O
12,1,the,O
12,2,land,B-DISASTER
12,3,subsidence,I-DISASTER
12,4,",",O
12,5,RescueNet,B-ORG
12,6,opened,O
12,7,a,O
12,8,staging,O
12,9,area,O
12,10,beside,O
12,11,the,O
12,12,grain,B-INFRASTRUCTURE
12,13,silo,I-INFRASTRUCTURE
12,14,for,O
12,15,six,B-CASUALTY
12,16,volunteers,I-CASUALTY
12,17,hurt,I-CASUALTY
12,18,.,O
13,0,Community,B-ORG
13,1,rescue,I-ORG
13,2,brigade,I-ORG
13,3,sent,O
13,4,chlorine,B-AID_RESOURCE
13,5,tablets,I-AID_RESOURCE
13,6,to,O
13,7,Dakar,B-LOCATION
13,8,after,O
13,9,the,O
13,10,peat,B-DISASTER
13,11,fire,I-DISASTER
13,12,damaged,O
13,13,the,O
13,14,sewage,B-INFRASTRUCTURE
13,15,pump,I-INFRASTRUCTURE
13,16,.,O
14,0,In,O
14,1,Mombasa,B-LOCATION
14,2,",",O
14,3,Samaritan,B-ORG
14,4,Aviation,I-ORG
14,5,reported,O
14,6,eight,B-CASUALTY
14,7,firefighters,I-CASUALTY
14,8,treated,I-CASUALTY
14,9,when,O
14,10,the,O
14,11,temporary,B-INFRASTRUCTURE
14,12,bridge,I-INFRASTRUCTURE
14,13,failed,O
14,14,.,O
15,0,urban,B-DISASTER
15,1,flash,I-DISASTER
15,2,flood,I-DISASTER
15,3,pushed,O
15,4,water,O
15,5,into,O
15,6,Cebu,B-LOCATION
15,7,",",O
15,8,knocking,O
15,9,out,O
15,10,the,O
15,11,power,B-INFRASTRUCTURE
15,12,substation,I-INFRASTRUCTURE
15,13,.,O
16,0,ice,B-DISASTER
16,1,jam,I-DISASTER
16,2,in,O
16,3,Antananarivo,B-LOCATION
16,4,carried,O
16,5,away,O
16,6,the,O
16,7,radio,B-INFRASTRUCTURE
16,8,repeater,I-INFRASTRUCTURE
16,9,",",O
16,10,isolating,O
16,11,schoolchildren,B-CASUALTY
16,12,stranded,I-CASUALTY
16,13,.,O
17,0,RescueNet,B-ORG
17,1,moved,O
17,2,hygiene,B-AID_RESOURCE
17,3,kits,I-AID_RESOURCE
17,4,to,O
17,5,Asmara,B-LOCATION
17,6,after,O
17,7,the,O
17,8,chemical,B-DISASTER
17,9,spill,I-DISASTER
17,10,shut,O
17,11,the,O
17,12,school,B-INFRASTRUCTURE
17,13,shelter,I-INFRASTRUCTURE
17,14,.,O
18,0,Community,B-ORG
18,1,rescue,I-ORG
18,2,brigade,I-ORG
18,3,warned,O
18,4,that,O
18,5,satellite,B-AID_RESOURCE
18,6,terminals,I-AID_RESOURCE
18,7,would,O
18,8,run,O
18,9,out,O
18,10,in,O
18,11,Valparaiso,B-LOCATION
18,12,if,O
18,13,the,O
18,14,primary,B-INFRASTRUCTURE
18,15,clinic,I-INFRASTRUCTURE
18,16,remained,O
18,17,broken,O
18,18,.,O
19,0,The,O
19,1,fuel,B-INFRASTRUCTURE
19,2,depot,I-INFRASTRUCTURE
19,3,in,O
19,4,Rabat,B-LOCATION
19,5,stayed,O
19,6,closed,O
19,7,while,O
19,8,Health,B-ORG
19,9,Bridge,I-ORG
19,10,moved,O
19,11,solar,B-AID_RESOURCE
19,12,lamps,I-AID_RESOURCE
19,13,through,O
19,14,back,O
19,15,roads,O
19,16,.,O
20,0,A,O
20,1,damaged,O
20,2,water,B-INFRASTRUCTURE
20,3,intake,I-INFRASTRUCTURE
20,4,slowed,O
20,5,evacuation,O
20,6,from,O
20,7,Mombasa,B-LOCATION
20,8,;,O
20,9,Rapid,B-ORG
20,10,Relief,I-ORG
20,11,Team,I-ORG
20,12,asked,O
20,13,for,O
20,14,kitchen,B-AID_RESOURCE
20,15,sets,I-AID_RESOURCE
20,16,.,O
21,0,Telecoms,B-ORG
21,1,Without,I-ORG
21,2,Borders,I-ORG
21,3,treated,O
21,4,four,B-CASUALTY
21,5,passengers,I-CASUALTY
21,6,missing,I-CASUALTY
21,7,after,O
21,8,heatwave,B-DISASTER
21,9,damaged,O
21,10,the,O
21,11,power,B-INFRASTRUCTURE
21,12,substation,I-INFRASTRUCTURE
21,13,in,O
21,14,Kampala,B-LOCATION
21,15,.,O
22,0,Search,O
22,1,crews,O
22,2,found,O
22,3,140,B-CASUALTY
22,4,people,I-CASUALTY
22,5,displaced,I-CASUALTY
22,6,under,O
22,7,the,O
22,8,collapsed,O
22,9,hospital,B-INFRASTRUCTURE
22,10,generator,I-INFRASTRUCTURE
22,11,in,O
22,12,Anchorage,B-LOCATION
22,13,.,O
23,0,Emergency,B-ORG
23,1,Logistics,I-ORG
23,2,Hub,I-ORG
23,3,warned,O
23,4,that,O
23,5,chlorine,B-AID_RESOURCE
23,6,tablets,I-AID_RESOURCE
23,7,would,O
23,8,run,O
23,9,out,O
23,10,in,O
23,11,Kathmandu,B-LOCATION
23,12,if,O
23,13,the,O
23,14,sewage,B-INFRASTRUCTURE
23,15,pump,I-INFRASTRUCTURE
23,16,remained,O
23,17,broken,O
23,18,.,O
24,0,CARE,B-ORG
24,1,teams,I-ORG
24,2,said,O
24,3,emergency,O
24,4,vehicles,O
24,5,could,O
24,6,not,O
24,7,reach,O
24,8,Bukhara,B-LOCATION
24,9,after,O
24,10,the,O
24,11,ridge,B-DISASTER
24,12,collapse,I-DISASTER
24,13,damaged,O
24,14,the,O
24,15,primary,B-INFRASTRUCTURE
24,16,clinic,I-INFRASTRUCTURE
24,17,.,O
25,0,In,O
25,1,Reykjavik,B-LOCATION
25,2,",",O
25,3,Islamic,B-ORG
25,4,Relief,I-ORG
25,5,opened,O
25,6,a,O
25,7,field,O
25,8,post,O
25,9,for,O
25,10,four,B-CASUALTY
25,11,passengers,I-CASUALTY
25,12,missing,I-CASUALTY
25,13,after,O
25,14,monsoon,B-DISASTER
25,15,flood,I-DISASTER
25,16,.,O
26,0,dozens,B-CASUALTY
26,1,of,I-CASUALTY
26,2,children,I-CASUALTY
26,3,missing,I-CASUALTY
26,4,were,O
26,5,found,O
26,6,near,O
26,7,Paramaribo,B-LOCATION
26,8,after,O
26,9,the,O
26,10,ridge,B-DISASTER
26,11,collapse,I-DISASTER
26,12,swept,O
26,13,across,O
26,14,the,O
26,15,bus,B-INFRASTRUCTURE
26,16,terminal,I-INFRASTRUCTURE
26,17,.,O
27,0,In,O
27,1,Luanda,B-LOCATION
27,2,",",O
27,3,crews,O
27,4,requested,O
27,5,medical,B-AID_RESOURCE
27,6,gloves,I-AID_RESOURCE
27,7,because,O
27,8,the,O
27,9,bus,B-INFRASTRUCTURE
27,10,terminal,I-INFRASTRUCTURE
27,11,failed,O
27,12,during,O
27,13,the,O
27,14,heatwave,B-DISASTER
27,15,.,O
28,0,port,B-CASUALTY
28,1,staff,I-CASUALTY
28,2,missing,I-CASUALTY
28,3,were,O
28,4,found,O
28,5,near,O
28,6,Arequipa,B-LOCATION
28,7,after,O
28,8,the,O
28,9,heatwave,B-DISASTER
28,10,swept,O
28,11,across,O
28,12,the,O
28,13,mobile,B-INFRASTRUCTURE
28,14,tower,I-INFRASTRUCTURE
28,15,.,O
29,0,Relief,B-ORG
29,1,International,I-ORG
29,2,treated,O
29,3,five,B-CASUALTY
29,4,workers,I-CASUALTY
29,5,trapped,I-CASUALTY
29,6,after,O
29,7,ridge,B-DISASTER
29,8,collapse,I-DISASTER
29,9,damaged,O
29,10,the,O
29,11,mountain,B-INFRASTRUCTURE
29,12,pass,I-INFRASTRUCTURE
29,13,in,O
29,14,Asmara,B-LOCATION
29,15,.,O
30,0,coastal,B-CASUALTY
30,1,residents,I-CASUALTY
30,2,evacuated,I-CASUALTY
30,3,were,O
30,4,found,O
30,5,near,O
30,6,Medellin,B-LOCATION
30,7,after,O
30,8,the,O
30,9,ash,B-DISASTER
30,10,cloud,I-DISASTER
30,11,swept,O
30,12,across,O
30,13,the,O
30,14,fuel,B-INFRASTRUCTURE
30,15,depot,I-INFRASTRUCTURE
30,16,.,O
31,0,Telecoms,B-ORG
31,1,Without,I-ORG
31,2,Borders,I-ORG
31,3,used,O
31,4,family,B-AID_RESOURCE
31,5,tents,I-AID_RESOURCE
31,6,to,O
31,7,support,O
31,8,pregnant,B-CASUALTY
31,9,patients,I-CASUALTY
31,10,relocated,I-CASUALTY
31,11,after,O
31,12,the,O
31,13,Typhoon,B-DISASTER
31,14,Kaito,I-DISASTER
31,15,isolated,O
31,16,Arequipa,B-LOCATION
31,17,.,O
32,0,Rapid,B-ORG
32,1,Relief,I-ORG
32,2,Team,I-ORG
32,3,used,O
32,4,mobile,B-AID_RESOURCE
32,5,chargers,I-AID_RESOURCE
32,6,to,O
32,7,support,O
32,8,17,B-CASUALTY
32,9,residents,I-CASUALTY
32,10,injured,I-CASUALTY
32,11,after,O
32,12,the,O
32,13,glacier,B-DISASTER
32,14,flood,I-DISASTER
32,15,isolated,O
32,16,Kampala,B-LOCATION
32,17,.,O
33,0,Local,B-ORG
33,1,Red,I-ORG
33,2,Crescent,I-ORG
33,3,treated,O
33,4,schoolchildren,B-CASUALTY
33,5,stranded,I-CASUALTY
33,6,after,O
33,7,peat,B-DISASTER
33,8,fire,I-DISASTER
33,9,damaged,O
33,10,the,O
33,11,drainage,B-INFRASTRUCTURE
33,12,canal,I-INFRASTRUCTURE
33,13,in,O
33,14,Valparaiso,B-LOCATION
33,15,.,O
34,0,Local,O
34,1,officials,O
34,2,in,O
34,3,Mombasa,B-LOCATION
34,4,said,O
34,5,the,O
