sentence_id,split,text
0,train,"World Food Programme confirmed hundreds evacuated near Puerto Rico after the Hurricane Irma, and survivors asked for blankets instead of more cameras."
1,train,Emergency update: BBC warned that Hurricane Irma could reach Florida after flooding around Kingston damaged hospital.
2,train,"In Ponce, World Food Programme said evacuees injured were reported after the mudslide, and crews are clearing subway station."
3,test,"Breaking: tropical storm swept through California, leaving 20 residents trapped and damaging cell towers."
4,train,rescue teams warned that residents in Monterrey urgently need tarps after the flood.
5,train,Residents across Ponce are waiting for rescue boats as damaged port slows rescue after the forest fire.
6,train,"In Naples, Red Cross said injured residents were reported after the tropical storm, and crews are clearing highway."
7,train,CNN and World Food Programme delivered tarps and food to Monterrey after Hurricane Maria caused 5 confirmed deaths.
8,train,Severe landslide near Veracruz destroyed schools while UNICEF moved donations to nearby shelters.
9,train,"UNICEF confirmed 3 people missing near San Juan after the flood, and survivors asked for baby formula instead of more cameras."
10,train,"Volunteers in Key West are distributing donations to families displaced by the earth tremor, while CNN repairs communication network."
11,dev,"In Jakarta, fire department said dozens of survivors were reported after the mudslide, and crews are clearing subway station."
12,test,"3 people missing in San Juan after Hurricane Irma, according to NOAA, with outages affecting airport."
13,test,rescue teams warned that residents in Guatemala City urgently need first aid after the flash flood.
14,train,Residents across Ponce are waiting for donations as damaged water plant slows rescue after the tropical storm.
15,test,"Road crews reopened part of the cell towers in Cape Town after the wildfire, but Doctors Without Borders says 200 dead still need portable chargers."
16,test,"In Monterrey, Doctors Without Borders said 200 dead were reported after the Hurricane Maria, and crews are clearing hospital."
17,dev,UNICEF and Red Cross delivered rescue boats and baby formula to Naples after earth tremor caused 12 injured.
18,train,Doctors Without Borders warned that residents in Jakarta urgently need volunteers after the tropical storm.
19,train,Photos from Jakarta show collapsed roads after the earthquake; Doctors Without Borders expects more requests for tarps.
20,dev,"3 people missing in Cape Town after earth tremor, according to local police, with outages affecting highway."
21,train,"In St. Thomas, FEMA said 3 people missing were reported after the tornado, and crews are clearing hospitals."
22,dev,"In Bayamon, local police said 5 confirmed deaths were reported after the wildfire, and crews are clearing airport."
23,train,"3 people missing in Santa Rosa after tropical storm, according to UNICEF, with outages affecting bridges."
24,train,"Road crews reopened part of the bridges in Bayamon after the Hurricane Harvey, but Army Corps says senior citizens missing still need water."
25,dev,UNICEF reported that residents in Florida urgently need medical supplies after the earthquake.
26,train,"12 injured in Jakarta after tropical storm, according to Red Cross, with outages affecting hospital."
27,train,"In Guatemala City, FEMA said 200 dead were reported after the forest fire, and crews are clearing gas station."
28,train,Residents across Key West are waiting for medical supplies as damaged communication network slows rescue after the flash flood.
29,train,"Road crews reopened part of the water plant in San Juan after the landslide, but World Food Programme says families displaced still need water."
30,train,Severe Hurricane Harvey near Cape Town destroyed power lines while Red Cross moved food to nearby shelters.
31,train,Photos from Kingston show collapsed hospitals after the Hurricane Irma; UNICEF expects more requests for rescue boats.
32,train,Field report: UNICEF warned that flood could reach Naples after flooding around Dominica damaged cell towers.
33,train,"multiple casualties in Houston after flood, according to FEMA, with outages affecting bridges."
34,train,UNICEF and rescue teams delivered medical supplies and baby formula to Houston after earth tremor caused families displaced.
35,train,"Army Corps confirmed 3 people missing near Puerto Rico after the landslide, and survivors asked for volunteers instead of more cameras."
36,train,National Guard announced that residents in Jakarta urgently need rescue boats after the mudslide.
37,train,Update: NOAA warned that storm surge could reach Lima after flooding around Dominica damaged bridge.
38,train,"World Food Programme confirmed victims stranded near California after the wildfire, and survivors asked for first aid instead of more cameras."
39,train,Severe landslide near San Juan destroyed airport while NOAA moved donations to nearby shelters.
40,dev,"Witness: earth tremor devastated Monterrey, leaving senior citizens missing and damaging highway."
41,train,"Road crews reopened part of the subway station in St. Thomas after the Hurricane Maria, but NOAA says 200 dead still need donations."
42,train,Photos from Bayamon show collapsed highway after the tropical storm; NOAA expects more requests for shelter.
43,train,"Alert: forest fire struck Sicily, leaving 5 confirmed deaths and damaging schools."
44,test,Photos from Dominica show collapsed schools after the flood; NOAA expects more requests for generators.
45,train,Witness: Red Cross warned that flood could reach Haiti after flooding around Puerto Rico damaged schools.
46,train,BBC and UNICEF delivered donations and shelter to Orlando after mudslide caused children rescued.
47,test,Photos from Cape Town show collapsed roads after the Hurricane Harvey; Doctors Without Borders expects more requests for generators.
48,train,World Food Programme and Army Corps delivered first aid and donations to Texas after aftershock caused missing tourists.
49,dev,"Road crews reopened part of the water plant in Jakarta after the wildfire, but National Guard says 5 confirmed deaths still need volunteers."
50,train,"Volunteers in Guatemala City are distributing shelter to families displaced by the wildfire, while fire department repairs hospital."
51,train,"Volunteers in Orlando are distributing volunteers to families displaced by the aftershock, while local police repairs schools."
52,test,"Road crews reopened part of the subway station in Bayamon after the Hurricane Maria, but Red Cross says dozens of survivors still need food."
53,train,"In Puerto Rico, FEMA said 5 confirmed deaths were reported after the Hurricane Maria, and crews are clearing communication network."
54,train,"In Key West, BBC said multiple casualties were reported after the mudslide, and crews are clearing gas station."
55,train,UNICEF said that residents in Santa Rosa urgently need water after the tropical storm.
56,train,"rescue teams confirmed evacuees injured near Jakarta after the landslide, and survivors asked for rescue boats instead of more cameras."
57,test,Severe mudslide near Sicily destroyed highway while local police moved portable chargers to nearby shelters.
58,dev,"multiple casualties in St. Thomas after aftershock, according to Reuters, with outages affecting bridge."
59,dev,Witness: National Guard warned that Hurricane Irma could reach California after flooding around Mexico City damaged gas station.
60,train,BBC and local police delivered portable chargers and baby formula to Lima after landslide caused 12 injured.
61,train,"Witness: forest fire devastated Kingston, leaving multiple casualties and damaging hospital."
62,train,"Road crews reopened part of the hospital in Jakarta after the mudslide, but Doctors Without Borders says children rescued still need fuel."
63,dev,Photos from Bayamon show collapsed gas station after the flood; Army Corps expects more requests for tarps.
64,train,"Update: earth tremor hit Guatemala City, leaving children rescued and damaging hospital."
65,train,Residents across Orlando are waiting for generators as damaged cell towers slows rescue after the flash flood.
66,train,Residents across Houston are waiting for generators as damaged hospitals slows rescue after the forest fire.
67,train,"Breaking: tropical storm devastated Puerto Rico, leaving 5 confirmed deaths and damaging hospital."
68,train,"In Key West, Reuters said victims stranded were reported after the storm surge, and crews are clearing port."
69,train,Severe wildfire near Texas destroyed water plant while rescue teams moved rescue boats to nearby shelters.
70,train,NOAA warned that residents in Key West urgently need food after the tornado.
71,test,Doctors Without Borders announced that residents in Kingston urgently need first aid after the tropical storm.
72,train,"Witness: forest fire struck Santa Rosa, leaving multiple casualties and damaging bridges."
73,train,"Road crews reopened part of the power lines in Ponce after the landslide, but Reuters says children rescued still need fuel."
74,dev,"In Houston, Reuters said missing tourists were reported after the forest fire, and crews are clearing schools."
75,train,NOAA and CNN delivered fuel and portable chargers to Sicily after Hurricane Harvey caused families displaced.
76,train,Residents across Haiti are waiting for first aid as damaged schools slows rescue after the earth tremor.
77,train,"Road crews reopened part of the schools in Sicily after the flash flood, but fire department says victims stranded still need tarps."
78,train,"Emergency update: Hurricane Irma damaged Naples, leaving 20 residents trapped and damaging highway."
79,test,Photos from Jakarta show collapsed schools after the mudslide; CNN expects more requests for shelter.
80,train,"In Texas, World Food Programme said evacuees injured were reported after the flood, and crews are clearing power lines."
81,test,"Volunteers in Cape Town are distributing portable chargers to families displaced by the tropical storm, while rescue teams repairs bridges."
82,train,Residents across Key West are waiting for water as damaged schools slows rescue after the Hurricane Harvey.
83,train,"Red Cross confirmed multiple casualties near Sicily after the forest fire, and survivors asked for rescue boats instead of more cameras."
84,train,Severe Hurricane Harvey near Dominica destroyed bridges while NOAA moved portable chargers to nearby shelters.
85,train,"National Guard confirmed injured residents near San Juan after the aftershock, and survivors asked for food instead of more cameras."
86,train,"Volunteers in Haiti are distributing fuel to families displaced by the tornado, while UNICEF repairs gas station."
87,train,"Volunteers in San Juan are distributing baby formula to families displaced by the tornado, while rescue teams repairs bridges."
88,train,National Guard said that residents in St. Thomas urgently need medical supplies after the Hurricane Maria.
89,train,Residents across St. Thomas are waiting for tarps as damaged water plant slows rescue after the Hurricane Harvey.
90,train,Residents across Ponce are waiting for donations as damaged roads slows rescue after the tropical storm.
91,train,Residents across Mexico City are waiting for baby formula as damaged power lines slows rescue after the forest fire.
92,train,Residents across Texas are waiting for tarps as damaged water plant slows rescue after the storm surge.
93,train,"missing tourists in Haiti after Hurricane Irma, according to FEMA, with outages affecting subway station."
94,train,"In Kingston, rescue teams said 12 injured were reported after the aftershock, and crews are clearing schools."
95,train,Field report: Reuters warned that aftershock could reach Cape Town after flooding around Lima damaged subway station.
96,train,NOAA and local police delivered donations and shelter to Texas after aftershock caused 200 dead.
97,dev,Breaking: Red Cross warned that Hurricane Harvey could reach Texas after flooding around Lima damaged schools.
98,train,"local police confirmed injured residents near Jakarta after the forest fire, and survivors asked for blankets instead of more cameras."
99,train,"UNICEF confirmed 3 people missing near San Juan after the storm surge, and survivors asked for shelter instead of more cameras."
100,train,"World Food Programme confirmed 3 people missing near St. Thomas after the tornado, and survivors asked for first aid instead of more cameras."
101,test,Army Corps said that residents in Texas urgently need fuel after the storm surge.
102,train,"evacuees injured in St. Thomas after storm surge, according to local police, with outages affecting airport."
103,train,Severe forest fire near Houston destroyed subway station while Reuters moved generators to nearby shelters.
104,train,Residents across Kingston are waiting for portable chargers as damaged communication network slows rescue after the forest fire.
105,train,BBC and Doctors Without Borders delivered portable chargers and blankets to Jakarta after landslide caused multiple casualties.
106,train,"In Santa Rosa, FEMA said families displaced were reported after the forest fire, and crews are clearing communication network."
107,train,"FEMA confirmed children rescued near Sicily after the Hurricane Maria, and survivors asked for portable chargers instead of more cameras."
108,train,"20 residents trapped in Veracruz after Hurricane Harvey, according to National Guard, with outages affecting airport."
109,train,"Road crews reopened part of the port in Ponce after the flash flood, but Red Cross says injured residents still need portable chargers."
110,test,"Road crews reopened part of the communication network in Sicily after the earth tremor, but NOAA says evacuees injured still need rescue boats."
111,test,Residents across Veracruz are waiting for baby formula as damaged bridges slows rescue after the earthquake.
112,test,"Road crews reopened part of the airport in Puerto Rico after the wildfire, but FEMA says families displaced still need shelter."
113,train,Emergency update: Army Corps warned that flash flood could reach California after flooding around Kingston damaged power lines.
114,test,"rescue teams confirmed families displaced near Sicily after the earthquake, and survivors asked for fuel instead of more cameras."
115,train,"Witness: earth tremor threatened Lima, leaving senior citizens missing and damaging power lines."
116,train,Residents across Naples are waiting for food as damaged communication network slows rescue after the storm surge.
117,train,Residents across Naples are waiting for shelter as damaged gas station slows rescue after the mudslide.
118,train,"Alert: earth tremor struck Haiti, leaving multiple casualties and damaging water plant."
119,test,"Volunteers in Bayamon are distributing volunteers to families displaced by the wildfire, while Doctors Without Borders repairs airport."
120,train,"hundreds evacuated in Kingston after Hurricane Harvey, according to CNN, with outages affecting airport."
121,train,"In Jakarta, CNN said evacuees injured were reported after the Hurricane Maria, and crews are clearing schools."
122,train,"Road crews reopened part of the cell towers in Orlando after the forest fire, but Doctors Without Borders says 3 people missing still need food."
123,train,"Road crews reopened part of the hospitals in Guatemala City after the aftershock, but NOAA says victims stranded still need food."
124,train,"senior citizens missing in Bayamon after flood, according to World Food Programme, with outages affecting schools."
125,test,"In Puerto Rico, rescue teams said missing tourists were reported after the storm surge, and crews are clearing cell towers."
126,train,"senior citizens missing in Key West after earth tremor, according to Reuters, with outages affecting subway station."
127,train,fire department said that residents in St. Thomas urgently need fuel after the Hurricane Irma.
128,train,"Volunteers in Veracruz are distributing volunteers to families displaced by the mudslide, while National Guard repairs subway station."
129,train,"Alert: mudslide damaged Monterrey, leaving multiple casualties and damaging schools."
130,train,"Breaking: flash flood hit Dominica, leaving 3 people missing and damaging schools."
131,train,Doctors Without Borders and UNICEF delivered food and volunteers to Mexico City after earthquake caused children rescued.
132,train,"In Mexico City, Doctors Without Borders said missing tourists were reported after the flood, and crews are clearing hospital."
