sentence_id,token_id,token,tag
0,0,Questions,O
0,1,over,O
0,2,$,O
0,3,300m,O
0,4,Puerto,B-LOCATION
0,5,Rico,I-LOCATION
0,6,contract,O
0,7,handed,O
0,8,to,O
0,9,two-person,O
0,10,firm,O
0,11,Scotland,O
1,0,Some,O
1,1,of,O
1,2,the,O
1,3,devastation,O
1,4,from,O
1,5,Harvey,B-DISASTER
1,6,friends,O
1,7,and,O
1,8,family,O
1,9,who,O
1,10,lost,O
1,11,everything,O
1,12,ὢ2,O
1,13,prayers,O
1,14,neededὉ4,O
1,15,BH,O
2,0,Dominican,O
2,1,Republic,O
2,2,:,O
2,3,38,O
2,4,towns,O
2,5,isolated,O
2,6,after,O
2,7,Hurricane,B-DISASTER
2,8,Maria,I-DISASTER
3,0,Crestline,O
3,1,",",O
3,2,OH,O
3,3,tornado,B-DISASTER
3,4,damage,O
3,5,.,O
4,0,Trump,O
4,1,in,O
4,2,Puerto,B-LOCATION
4,3,Rico,I-LOCATION
4,4,:,O
4,5,"""",O
4,6,this,O
4,7,isn,O
4,8,',O
4,9,t,O
4,10,a,O
4,11,REAL,O
4,12,catastrophe,O
4,13,like,O
4,14,Katrina,O
4,15,"""",O
4,16,ὄ7ἿCὄ7ἿCὄ7ἿCὄ7ἿC,O
4,17,What,O
4,18,?,O
4,19,ᾓ7ἿD,O
4,20,‍,O
4,21,️,O
5,0,Property,O
5,1,/,O
5,2,casualty,O
5,3,group,O
5,4,Travelers,O
5,5,sees,O
5,6,up,O
5,7,to,O
5,8,$,O
5,9,750m,O
5,10,in,O
5,11,losses,O
5,12,from,O
5,13,Hurricane,B-DISASTER
5,14,Harvey,I-DISASTER
6,0,Extra,O
6,1,images,O
6,2,of,O
6,3,the,O
6,4,leaning,O
6,5,building,O
6,6,Mexico,O
6,7,Earthquake,B-DISASTER
7,0,Restoration,O
7,1,of,O
7,2,Water,B-AID_RESOURCE
7,3,Supply,O
7,4,Benefits,O
7,5,25,O
7,6,",",O
7,7,000,O
7,8,Cubans,O
7,9,Affected,O
7,10,by,O
7,11,Irma,B-DISASTER
8,0,Seven,O
8,1,Die,O
8,2,and,O
8,3,Thousands,O
8,4,Hurricane-Stricken,O
8,5,in,O
8,6,Dominica,B-LOCATION
8,7,After,O
8,8,Maria,B-DISASTER
8,9,-,O
9,0,Analysts,O
9,1,:,O
9,2,Hurricane,B-DISASTER
9,3,Harvey,I-DISASTER
9,4,could,O
9,5,slow,O
9,6,economic,O
9,7,growth,O
9,8,by,O
9,9,full,O
9,10,percentage,O
9,11,point,O
10,0,Mary,O
10,1,threatens,O
10,2,to,O
10,3,repeat,O
10,4,the,O
10,5,wake,O
10,6,of,O
10,7,destruction,O
10,8,left,O
10,9,by,O
10,10,Irma,B-DISASTER
11,0,South,O
11,1,Florida,B-LOCATION
11,2,businesses,O
11,3,launch,O
11,4,Hurricane,B-DISASTER
11,5,Harvey,I-DISASTER
11,6,relief,O
11,7,efforts,O
12,0,Harvey,B-DISASTER
12,1,Economic,O
12,2,Loss,O
12,3,Could,O
12,4,Be,O
12,5,Up,O
12,6,To,O
12,7,$,O
12,8,75bn,O
12,9,:,O
12,10,Moody,O
12,11,',O
12,12,s,O
12,13,Analytics,O
12,14,-,O
12,15,Seeking,O
12,16,Alpha,O
13,0,Indian-Americans,O
13,1,urged,O
13,2,to,O
13,3,raise,O
13,4,funds,O
13,5,for,O
13,6,Harvey,B-DISASTER
13,7,relief,O
13,8,news,O
13,9,India,O
14,0,Insurers,O
14,1,and,O
14,2,reinsurers,O
14,3,struggling,O
14,4,to,O
14,5,assess,O
14,6,the,O
14,7,damage,O
14,8,of,O
14,9,Hurricane,B-DISASTER
14,10,Harvey,I-DISASTER
15,0,Two,O
15,1,weeks,O
15,2,after,O
15,3,Harvey,B-DISASTER
15,4,:,O
15,5,Miles,O
15,6,upon,O
15,7,miles,O
15,8,of,O
15,9,gutted,O
15,10,homes,O
15,11,.,O
15,12,So,O
15,13,sad,O
15,14,.,O
15,15,.,O
15,16,.,O
16,0,Just,O
16,1,In,O
16,2,:,O
16,3,Hurricane,B-DISASTER
16,4,Maria,I-DISASTER
16,5,causes,O
16,6,at,O
16,7,least,O
16,8,8,O
16,9,deaths,O
16,10,in,O
16,11,Dominica,B-LOCATION
17,0,Tax,O
17,1,help,O
17,2,for,O
17,3,businesses,O
17,4,hit,O
17,5,by,O
17,6,Harvey,B-DISASTER
17,7,and,O
17,8,Irma,B-DISASTER
17,9,Canadian,O
17,10,Payroll,O
17,11,Reporter,O
17,12,Payroll,O
18,0,Scary,O
18,1,point,O
18,2,from,O
18,3,in,O
18,4,the,O
18,5,British,O
18,6,Virgin,O
18,7,Islands,O
18,8,:,O
18,9,Maria,B-DISASTER
18,10,will,O
18,11,turn,O
18,12,debris,O
18,13,from,O
18,14,Irma,B-DISASTER
18,15,into,O
18,16,deadly,O
18,17,missiles,O
18,18,.,O
18,19,‚,O
18,20,Ä,O
18,21,¶,O
19,0,How,O
19,1,Will,O
19,2,Puerto,B-LOCATION
19,3,Rico,I-LOCATION
19,4,",",O
19,5,Devastated,O
19,6,and,O
19,7,Drowning,O
19,8,in,O
19,9,Debt,O
19,10,",",O
19,11,Pay,O
19,12,to,O
19,13,Rebuild,O
19,14,?,O
20,0,(,O
20,1,Macleans,O
20,2,),O
20,3,:,O
20,4,Crisis,O
20,5,deepens,O
20,6,in,O
20,7,Puerto,B-LOCATION
20,8,Rico,I-LOCATION
20,9,after,O
20,10,Hurricane,B-DISASTER
20,11,Maria,I-DISASTER
20,12,:,O
20,13,Many,O
20,14,towns,O
20,15,have,O
20,16,been,O
20,17,.,O
20,18,.,O
21,0,As,O
21,1,residents,O
21,2,are,O
21,3,allowed,O
21,4,back,O
21,5,into,O
21,6,the,O
21,7,lower,O
21,8,Florida,B-LOCATION
21,9,Keys,O
21,10,this,O
21,11,is,O
21,12,what,O
21,13,some,O
21,14,will,O
21,15,find,O
21,16,in,O
21,17,Ramrod,O
21,18,Key,O
21,19,Irma,B-DISASTER
22,0,',O
22,1,Long,O
22,2,road,O
22,3,to,O
22,4,go,O
22,5,',O
22,6,:,O
22,7,Officials,O
22,8,talk,O
22,9,Irma,B-DISASTER
22,10,relief,O
22,11,in,O
22,12,the,O
22,13,Florida,B-LOCATION
